310,310,310,310,310,310,310,310,310,310,310,310,310
 -1, -1,309, -1, -1, -1, -1, -1, -1,999,990, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1,999,312, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1,123, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
