 -1, -1, -1, -1,999, -1, -1, -1, -1, -1,999, -1, -1, -1, -1
 13, -1, -1, -1,999, -1, -1, 10, -1, -1,999, -1, -1, -1, 12
 -1, -1, -1, -1,999,999,999,100,999,999,999, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1,  -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1,990, -1, -1, -1, -1, -1, -1, -1
